REF_DATE,GEO,DGUID,Age (13B),Knowledge of official languages (5),Coordinate,Statistics (6A):2021 Counts[1],Symbol,Statistics (6A):% distribution (2021)[2],Symbol,Statistics (6A):% change (2016 to 2021)[3],Symbol,Statistics (6A):% change (2011 to 2021)[4],Symbol,Statistics (6A):2016 Counts[5],Symbol,Statistics (6A):2011 Counts[6],Symbol
2021,Prince Edward Island,2021A000211,0 to 4 years,Total - Knowledge of official languages,3.3.1,6755,,100.0,,-3.4,,-7.1,,6995,,7275,
2021,Prince Edward Island,2021A000211,0 to 4 years,English only,3.3.2,6340,,93.9,,-3.7,,-8.8,,6585,,6950,
2021,Prince Edward Island,2021A000211,0 to 4 years,French only,3.3.3,35,,0.5,,-12.5,,-12.5,,40,,40,
2021,Prince Edward Island,2021A000211,0 to 4 years,English and French,3.3.4,210,,3.1,,-2.3,,0.0,,215,,210,
2021,Prince Edward Island,2021A000211,0 to 4 years,Neither English nor French,3.3.5,170,,2.5,,13.3,,126.7,,150,,75,
2021,Prince Edward Island,2021A000211,5 to 9 years,Total - Knowledge of official languages,3.4.1,8090,,100.0,,2.3,,9.5,,7905,,7390,
2021,Prince Edward Island,2021A000211,5 to 9 years,English only,3.4.2,6400,,79.1,,2.7,,3.6,,6230,,6175,
2021,Prince Edward Island,2021A000211,5 to 9 years,French only,3.4.3,10,,0.1,,0.0,,-50.0,,10,,20,
2021,Prince Edward Island,2021A000211,5 to 9 years,English and French,3.4.4,1600,,19.8,,1.9,,38.5,,1570,,1155,
2021,Prince Edward Island,2021A000211,5 to 9 years,Neither English nor French,3.4.5,80,,1.0,,-11.1,,128.6,,90,,35,
2021,Prince Edward Island,2021A000211,10 to 14 years,Total - Knowledge of official languages,3.5.1,8785,,100.0,,13.1,,4.7,,7770,,8390,
2021,Prince Edward Island,2021A000211,10 to 14 years,English only,3.5.2,6335,,72.1,,11.7,,2.3,,5670,,6195,
2021,Prince Edward Island,2021A000211,10 to 14 years,French only,3.5.3,10,,0.1,,100.0,,-33.3,,5,,15,
2021,Prince Edward Island,2021A000211,10 to 14 years,English and French,3.5.4,2405,,27.4,,18.2,,12.1,,2035,,2145,
2021,Prince Edward Island,2021A000211,10 to 14 years,Neither English nor French,3.5.5,45,,0.5,,-30.8,,28.6,,65,,35,
2021,Prince Edward Island,2021A000211,15 to 24 years,Total - Knowledge of official languages,3.6.1,19090,,100.0,,10.9,,3.9,,17215,,18380,
2021,Prince Edward Island,2021A000211,15 to 24 years,English only,3.6.2,14565,,76.3,,12.2,,2.1,,12980,,14260,
2021,Prince Edward Island,2021A000211,15 to 24 years,French only,3.6.3,5,,0.0,,0.0,,0.0,,5,,5,
2021,Prince Edward Island,2021A000211,15 to 24 years,English and French,3.6.4,4160,,21.8,,4.7,,2.2,,3975,,4070,
2021,Prince Edward Island,2021A000211,15 to 24 years,Neither English nor French,3.6.5,355,,1.9,,42.0,,787.5,,250,,40,
2021,Prince Edward Island,2021A000211,15 to 19 years,Total - Knowledge of official languages,3.7.1,8545,,100.0,,-0.9,,-11.3,,8625,,9635,
2021,Prince Edward Island,2021A000211,15 to 19 years,English only,3.7.2,6150,,72.0,,-0.2,,-15.6,,6165,,7285,
2021,Prince Edward Island,2021A000211,15 to 19 years,French only,3.7.3,5,,0.1,,0,...,0.0,,0,,5,
2021,Prince Edward Island,2021A000211,15 to 19 years,English and French,3.7.4,2280,,26.7,,-3.0,,-1.7,,2350,,2320,
2021,Prince Edward Island,2021A000211,15 to 19 years,Neither English nor French,3.7.5,110,,1.3,,10.0,,340.0,,100,,25,
2021,Prince Edward Island,2021A000211,20 to 24 years,Total - Knowledge of official languages,3.8.1,10545,,100.0,,22.8,,20.6,,8590,,8745,
2021,Prince Edward Island,2021A000211,20 to 24 years,English only,3.8.2,8415,,79.8,,23.7,,20.6,,6805,,6975,
2021,Prince Edward Island,2021A000211,20 to 24 years,French only,3.8.3,0,,0.0,,-100.0,,0,...,5,,0,
2021,Prince Edward Island,2021A000211,20 to 24 years,English and French,3.8.4,1880,,17.8,,15.7,,7.1,,1625,,1755,
2021,Prince Edward Island,2021A000211,20 to 24 years,Neither English nor French,3.8.5,250,,2.4,,66.7,,1566.7,,150,,15,
2021,Prince Edward Island,2021A000211,25 to 44 years,Total - Knowledge of official languages,3.9.1,36175,,100.0,,12.0,,10.6,,32290,,32695,
2021,Prince Edward Island,2021A000211,25 to 44 years,English only,3.9.2,30690,,84.8,,12.3,,9.0,,27320,,28145,
2021,Prince Edward Island,2021A000211,25 to 44 years,French only,3.9.3,20,,0.1,,0.0,,0.0,,20,,20,
2021,Prince Edward Island,2021A000211,25 to 44 years,English and French,3.9.4,5050,,14.0,,11.0,,18.5,,4550,,4260,
2021,Prince Edward Island,2021A000211,25 to 44 years,Neither English nor French,3.9.5,415,,1.1,,1.2,,50.9,,410,,275,
2021,Prince Edward Island,2021A000211,45 to 64 years,Total - Knowledge of official languages,3.10.1,42335,,100.0,,-0.6,,-1.3,,42570,,42910,
2021,Prince Edward Island,2021A000211,45 to 64 years,English only,3.10.2,38345,,90.6,,-1.4,,-2.2,,38890,,39210,
2021,Prince Edward Island,2021A000211,45 to 64 years,French only,3.10.3,25,,0.1,,25.0,,66.7,,20,,15,
2021,Prince Edward Island,2021A000211,45 to 64 years,English and French,3.10.4,3630,,8.6,,5.8,,4.9,,3430,,3460,
2021,Prince Edward Island,2021A000211,45 to 64 years,Neither English nor French,3.10.5,340,,0.8,,41.7,,51.1,,240,,225,
2021,Prince Edward Island,2021A000211,65 years and over,Total - Knowledge of official languages,3.11.1,31225,,100.0,,18.9,,45.9,,26270,,21405,
2021,Prince Edward Island,2021A000211,65 years and over,English only,3.11.2,28795,,92.2,,19.3,,46.5,,24145,,19650,
2021,Prince Edward Island,2021A000211,65 years and over,French only,3.11.3,25,,0.1,,66.7,,25.0,,15,,20,
2021,Prince Edward Island,2021A000211,65 years and over,English and French,3.11.4,2320,,7.4,,12.3,,36.1,,2065,,1705,
2021,Prince Edward Island,2021A000211,65 years and over,Neither English nor French,3.11.5,75,,0.2,,36.4,,150.0,,55,,30,
2021,Prince Edward Island,2021A000211,65 to 74 years,Total - Knowledge of official languages,3.12.1,19510,,100.0,,19.3,,57.7,,16350,,12370,
2021,Prince Edward Island,2021A000211,65 to 74 years,English only,3.12.2,18005,,92.3,,19.6,,58.3,,15055,,11375,
2021,Prince Edward Island,2021A000211,65 to 74 years,French only,3.12.3,15,,0.1,,200.0,,200.0,,5,,5,
2021,Prince Edward Island,2021A000211,65 to 74 years,English and French,3.12.4,1435,,7.4,,13.9,,47.2,,1260,,975,
